Tenure Months,Location,Device Class,Games Product,Music Product,Education Product,Call Center,Video Product,Use MyApp,Payment Method,Monthly Purchase (Thou. IDR),Churn Label,CLTV (Predicted Thou. IDR)
19,Bandung,High End,1,0,1,1,1,1,Pulsa,138.58,1,4893.2
2,Bandung,Mid End,0,0,0,0,0,0,Credit,59.8,1,3467.1
4,Bandung,High End,0,0,0,0,0,0,Pulsa,91.195,1,2895.1
4,Bandung,Mid End,0,0,0,1,0,0,Digital Wallet,65.065,1,4412.2
1,Bandung,Mid End,0,0,0,0,1,0,Digital Wallet,71.76,1,4729.4
1,Bandung,High End,1,0,0,0,0,1,Digital Wallet,109.98,1,3229.2
2,Bandung,Mid End,0,1,0,0,0,0,Digital Wallet,70.72,1,3322.8
11,Bandung,High End,0,1,0,0,1,1,Pulsa,123.5,1,7774.0
15,Bandung,High End,0,1,0,0,0,0,Pulsa,96.72,1,6000.8
1,Bandung,Mid End,1,0,0,0,0,0,Digital Wallet,63.115,1,7393.1
2,Bandung,High End,0,0,0,0,0,0,Pulsa,91.52,1,7393.1
1,Bandung,Mid End,0,1,0,0,1,0,Pulsa,52.26,1,7576.4
2,Bandung,Mid End,0,0,0,0,0,0,Credit,57.98,1,6349.2
3,Bandung,Mid End,0,0,1,0,0,1,Pulsa,53.495,1,3008.2
13,Bandung,High End,0,1,1,0,1,1,Pulsa,138.97,1,3242.2
59,Bandung,Low End,0,0,0,0,0,0,Digital Wallet,25.155,1,6609.2
16,Bandung,High End,0,0,0,1,1,1,Pulsa,122.785,1,4953.0
1,Bandung,Mid End,0,0,0,0,0,0,Debit,32.24,1,6613.1
1,Bandung,High End,0,0,0,0,0,0,Digital Wallet,91.78,1,4339.4
5,Bandung,High End,0,1,0,1,0,0,Pulsa,111.02,1,4778.8
52,Bandung,High End,0,1,1,0,1,1,Pulsa,136.565,1,6290.7
18,Bandung,High End,0,0,1,0,1,1,Digital Wallet,123.695,1,6035.9
1,Bandung,High End,0,0,0,0,0,0,Pulsa,91.0,1,5322.2
8,Bandung,High End,0,1,0,0,0,0,Pulsa,96.85,1,5648.5
10,Bandung,Mid End,0,0,0,0,0,0,Credit,58.305,1,5279.3
24,Bandung,High End,0,0,0,0,0,0,Pulsa,98.93,1,2623.4
1,Bandung,High End,1,0,0,0,0,0,Digital Wallet,95.68,1,3334.5
4,Bandung,High End,0,0,0,0,1,1,Pulsa,124.085,1,4780.1
32,Bandung,High End,0,0,0,0,0,0,Pulsa,97.37,1,5336.5
5,Jakarta,High End,0,0,0,0,1,0,Pulsa,104.78,1,7429.5
38,Jakarta,Mid End,1,1,0,1,1,1,Credit,104.39,1,2692.3
24,Jakarta,High End,0,0,1,0,1,1,Pulsa,121.095,1,2875.6
54,Jakarta,Mid End,1,1,0,1,1,1,Debit,107.185,1,5393.7
2,Jakarta,High End,0,0,0,0,0,0,Pulsa,91.455,1,3472.3
7,Jakarta,High End,0,0,0,0,0,0,Pulsa,96.005,1,3214.9
2,Jakarta,High End,0,0,1,0,0,0,Digital Wallet,104.78,1,3487.9
68,Jakarta,Mid End,0,1,1,1,0,1,Debit,98.54,1,6373.9
43,Jakarta,High End,0,1,1,0,1,1,Pulsa,135.98,1,6825.0
63,Jakarta,High End,0,1,1,0,1,1,Pulsa,134.42,1,5657.6
2,Jakarta,High End,0,0,0,0,1,1,Pulsa,117.52,1,5404.1
4,Jakarta,High End,0,1,1,0,0,0,Debit,110.24,1,6420.7
21,Jakarta,Mid End,1,0,0,0,1,0,Pulsa,54.47,1,6211.4
10,Jakarta,High End,0,0,0,0,0,1,Debit,104.325,1,4677.4
27,Jakarta,Mid End,1,0,0,0,0,0,Credit,39.975,1,3805.1
5,Jakarta,High End,0,0,1,0,1,1,Debit,125.45,1,6997.9
2,Jakarta,High End,0,0,0,0,1,0,Pulsa,111.345,1,5041.4
25,Jakarta,High End,0,0,1,1,1,1,Debit,136.435,1,4734.6
1,Jakarta,Mid End,0,1,0,0,0,0,Digital Wallet,65.845,1,3160.3
1,Jakarta,High End,0,1,0,0,0,1,Credit,118.105,1,4451.2
11,Jakarta,Low End,0,0,0,0,0,0,Digital Wallet,25.935,1,7654.4
55,Jakarta,High End,0,1,1,0,0,0,Pulsa,111.085,1,7152.6
34,Jakarta,High End,0,1,0,0,0,0,Credit,96.135,1,7533.5
69,Jakarta,High End,0,0,1,0,1,1,Credit,129.285,1,5226.0
1,Jakarta,Low End,0,0,0,0,0,0,Digital Wallet,25.87,1,4356.3
1,Jakarta,Low End,0,0,0,0,0,0,Digital Wallet,25.48,1,4482.4
3,Jakarta,High End,0,1,0,0,0,0,Pulsa,105.755,1,3663.4
22,Jakarta,High End,0,1,0,0,0,1,Pulsa,108.29,1,4945.2
1,Jakarta,High End,0,0,1,0,0,0,Debit,97.89,1,6372.6
61,Jakarta,Low End,0,0,0,0,0,0,Digital Wallet,25.22,1,5487.3
12,Jakarta,Mid End,0,0,0,0,0,0,Debit,59.02,1,3753.1
60,Jakarta,High End,0,1,1,0,1,1,Pulsa,137.67,1,5336.5
1,Jakarta,High End,0,0,0,0,0,0,Digital Wallet,90.415,1,3629.6
28,Jakarta,High End,0,0,0,0,0,1,Pulsa,105.365,1,6761.3
4,Jakarta,High End,0,0,1,0,1,1,Pulsa,131.495,1,5742.1
7,Jakarta,High End,0,1,0,0,1,1,Pulsa,129.74,1,2640.3
13,Jakarta,Mid End,0,0,0,0,0,1,Pulsa,72.735,1,5847.4
1,Jakarta,Mid End,0,0,0,0,0,1,Pulsa,71.5,1,6340.1
1,Jakarta,High End,0,1,0,0,0,0,Pulsa,97.11,1,7774.0
24,Jakarta,High End,0,1,0,0,0,0,Pulsa,104.325,1,5743.4
5,Jakarta,High End,0,0,0,1,1,1,Pulsa,124.93,1,5449.6
15,Jakarta,High End,0,0,0,0,0,0,Debit,89.7,1,7372.3
48,Jakarta,Mid End,1,0,1,0,0,1,Debit,58.89,1,6403.8
8,Jakarta,High End,0,1,0,0,1,0,Pulsa,108.615,1,3742.7
1,Jakarta,High End,0,0,0,0,0,0,Pulsa,96.655,1,3658.2
2,Jakarta,High End,1,0,0,0,0,0,Pulsa,96.72,1,5541.9
22,Jakarta,Mid End,0,1,1,0,0,1,Debit,56.875,1,4028.7
5,Jakarta,Mid End,0,1,0,0,0,0,Pulsa,36.985,1,5328.7
12,Jakarta,High End,1,1,1,0,0,1,Debit,129.61,1,3299.4
20,Jakarta,High End,0,1,1,0,0,1,Pulsa,122.33,1,3465.8
2,Jakarta,High End,0,0,0,1,1,1,Pulsa,122.46,1,4829.5
6,Jakarta,High End,0,0,0,1,0,0,Pulsa,104.65,1,6541.6
5,Jakarta,High End,0,0,0,0,0,0,Pulsa,96.655,1,6854.9
40,Jakarta,High End,0,0,1,1,1,1,Debit,136.24,1,4539.6
27,Jakarta,High End,1,0,0,0,0,0,Debit,97.76,1,5872.1
23,Jakarta,High End,0,0,0,0,0,0,Debit,98.28,1,2749.5
34,Jakarta,High End,0,0,1,0,1,1,Pulsa,130.065,1,3338.4
1,Jakarta,High End,0,0,0,0,0,1,Pulsa,110.5,1,7382.7
10,Jakarta,High End,0,0,0,0,1,0,Debit,111.865,1,3855.8
13,Jakarta,Mid End,1,0,0,1,1,0,Credit,59.215,1,6312.8
39,Jakarta,High End,0,1,0,0,1,0,Digital Wallet,112.19,1,4373.2
32,Jakarta,High End,0,1,0,0,0,0,Debit,104.455,1,7766.2
35,Jakarta,High End,0,0,1,0,1,1,Pulsa,130.325,1,3567.2
56,Jakarta,High End,0,1,0,0,1,1,Credit,130.39,1,6721.0
12,Jakarta,Low End,0,0,0,0,0,0,Digital Wallet,24.7,1,4595.5
1,Jakarta,High End,1,0,0,0,0,0,Digital Wallet,97.89,1,4217.2
4,Jakarta,High End,0,0,1,0,1,0,Pulsa,115.96,1,7550.4
1,Jakarta,High End,0,0,0,0,1,0,Pulsa,111.41,1,6344.0
12,Jakarta,Mid End,1,0,1,1,0,0,Digital Wallet,80.145,1,7371.0
65,Jakarta,High End,1,0,1,0,1,1,Debit,136.825,1,5454.8
9,Jakarta,Mid End,0,1,0,0,0,0,Pulsa,38.935,1,3344.9
9,Jakarta,Mid End,1,1,1,1,0,0,Digital Wallet,84.5,1,5177.9
7,Jakarta,Low End,0,0,0,0,0,0,Debit,26.0,1,5822.7
49,Jakarta,High End,0,1,0,0,0,1,Credit,117.065,1,6576.7
43,Jakarta,High End,0,1,1,1,1,1,Debit,143.975,1,3546.4
65,Jakarta,High End,0,1,1,0,1,1,Pulsa,137.15,1,7436.0
56,Jakarta,High End,1,0,1,0,1,1,Debit,135.915,1,8148.4
10,Jakarta,High End,0,0,0,0,0,1,Pulsa,110.825,1,4644.9
43,Jakarta,Mid End,0,0,0,0,1,0,Pulsa,72.995,1,2797.6
1,Jakarta,High End,0,0,0,0,1,1,Pulsa,116.415,1,6494.8
20,Jakarta,High End,0,0,0,0,1,1,Pulsa,122.915,1,7285.2
1,Jakarta,Mid End,0,0,0,0,0,0,Digital Wallet,59.41,1,2983.5
2,Jakarta,High End,0,1,0,0,0,1,Pulsa,116.35,1,2684.5
3,Jakarta,High End,0,0,0,0,0,0,Debit,90.415,1,3738.8
1,Jakarta,High End,0,0,1,0,0,0,Digital Wallet,96.98,1,5018.0
8,Jakarta,Low End,0,0,0,0,0,0,Pulsa,25.545,1,7061.6
2,Jakarta,Low End,0,0,0,0,0,0,Digital Wallet,25.805,1,3070.6
4,Jakarta,Mid End,0,0,0,0,0,0,Digital Wallet,31.525,1,2649.4
2,Jakarta,High End,0,0,0,0,0,0,Pulsa,90.545,1,3019.9
4,Jakarta,Mid End,0,0,0,0,0,0,Digital Wallet,59.345,1,3723.2
1,Jakarta,High End,0,0,0,0,0,0,Digital Wallet,97.565,1,6289.4
52,Jakarta,Mid End,0,1,0,0,1,1,Pulsa,63.895,1,7276.1
2,Jakarta,Mid End,0,0,0,0,0,1,Pulsa,45.11,1,4089.8
1,Jakarta,High End,0,0,0,0,0,1,Pulsa,104.0,1,2659.8
2,Jakarta,Mid End,1,0,0,0,0,0,Pulsa,64.025,1,4517.5
3,Jakarta,High End,0,0,0,0,0,0,Credit,97.63,1,6454.5
3,Jakarta,Mid End,0,0,1,0,0,0,Pulsa,65.195,1,4254.9
25,Jakarta,High End,1,1,0,0,0,0,Debit,103.805,1,5895.5
1,Jakarta,Low End,0,0,0,0,0,0,Digital Wallet,25.415,1,4622.8
4,Jakarta,High End,0,0,0,0,0,1,Pulsa,111.735,1,7332.0
3,Jakarta,Mid End,0,0,0,0,0,0,Pulsa,58.955,1,3185.0
33,Jakarta,High End,0,0,0,0,1,1,Pulsa,122.85,1,5632.9
30,Jakarta,High End,1,1,1,0,0,0,Credit,119.21,1,3226.6
45,Jakarta,High End,0,0,1,1,0,0,Pulsa,113.425,1,6849.7
10,Jakarta,High End,1,0,0,0,1,1,Pulsa,128.115,1,4755.4
20,Jakarta,High End,0,0,1,0,1,1,Pulsa,128.115,1,7077.2
15,Jakarta,High End,0,1,0,0,0,1,Debit,111.67,1,4652.7
22,Jakarta,High End,0,0,0,0,1,1,Pulsa,116.025,1,4109.3
3,Jakarta,High End,0,0,0,0,0,0,Pulsa,91.39,1,3949.4
15,Jakarta,High End,0,0,0,0,1,1,Pulsa,121.355,1,6843.2
1,Jakarta,Low End,0,0,0,0,0,0,Digital Wallet,25.87,1,5522.4
5,Jakarta,High End,1,0,1,0,0,1,Digital Wallet,115.57,1,5662.8
33,Jakarta,High End,0,0,1,0,1,1,Pulsa,124.54,1,5409.3
2,Jakarta,High End,0,1,0,0,0,0,Pulsa,106.6,1,3966.3
2,Jakarta,Mid End,0,0,0,0,0,0,Pulsa,58.955,1,4521.4
1,Jakarta,Mid End,0,0,0,1,0,0,Pulsa,67.86,1,5379.4
46,Jakarta,High End,1,1,1,0,1,1,Pulsa,143.0,1,3123.9
62,Jakarta,High End,0,0,1,0,1,1,Pulsa,125.775,1,6520.8
10,Jakarta,High End,0,0,0,1,1,1,Pulsa,128.05,1,6739.2
6,Jakarta,High End,0,1,0,0,1,0,Pulsa,110.955,1,6102.2
40,Jakarta,High End,0,1,0,0,1,1,Pulsa,131.69,1,3348.8
1,Jakarta,High End,0,0,0,0,0,0,Pulsa,90.415,1,3954.6
58,Jakarta,High End,0,1,1,0,1,1,Debit,134.225,1,7936.5
70,Jakarta,High End,1,0,0,1,1,1,Credit,135.2,1,5907.2
2,Jakarta,High End,0,0,1,0,0,1,Digital Wallet,112.06,1,3859.7
21,Jakarta,High End,0,1,1,1,1,1,Pulsa,144.56,1,5359.9
16,Jakarta,High End,0,1,1,0,1,0,Credit,116.285,1,4804.8
7,Jakarta,High End,0,0,0,0,1,1,Debit,124.28,1,4244.5
60,Jakarta,High End,0,1,1,0,1,0,Pulsa,118.235,1,5344.3
50,Jakarta,High End,1,1,0,1,1,1,Pulsa,141.115,1,5556.2
4,Jakarta,High End,0,0,0,0,1,0,Pulsa,102.505,1,6891.3
1,Jakarta,Mid End,0,0,0,0,0,0,Digital Wallet,57.72,1,4578.6
55,Jakarta,High End,0,0,1,0,1,1,Pulsa,130.0,1,7382.7
12,Jakarta,Low End,0,0,0,0,0,0,Debit,25.74,1,3448.9
1,Jakarta,High End,0,0,0,0,1,1,Pulsa,116.87,1,7736.3
62,Jakarta,High End,0,0,1,0,1,1,Pulsa,130.195,1,7280.0
1,Jakarta,Mid End,0,1,0,0,0,0,Pulsa,66.04,1,4833.4
20,Jakarta,High End,0,1,0,0,0,0,Pulsa,95.745,1,7603.7
3,Jakarta,High End,0,1,0,0,1,1,Pulsa,123.63,1,7619.3
22,Jakarta,High End,0,0,0,0,1,1,Credit,123.045,1,4764.5
4,Jakarta,High End,0,0,1,1,0,0,Digital Wallet,104.78,1,4004.0
59,Jakarta,High End,0,0,0,0,0,1,Pulsa,111.215,1,8195.2
60,Bandung,Mid End,0,1,0,0,1,1,Pulsa,66.04,1,6423.3
15,Bandung,High End,1,0,1,1,1,1,Pulsa,136.63,1,2758.6
10,Bandung,High End,1,1,1,1,1,1,Pulsa,143.13,1,7543.9
6,Bandung,High End,0,0,1,0,0,1,Pulsa,109.07,1,5150.6
63,Bandung,High End,1,1,1,0,1,0,Pulsa,130.715,1,7036.9
50,Bandung,High End,0,1,1,0,1,1,Debit,135.005,1,7555.6
1,Bandung,Mid End,0,0,0,0,0,0,Pulsa,31.98,1,7498.4
12,Bandung,High End,1,0,0,1,1,1,Debit,128.57,1,7226.7
9,Bandung,High End,0,0,1,0,1,1,Credit,127.79,1,3840.2
17,Bandung,High End,1,0,0,0,1,1,Pulsa,122.005,1,6422.0
9,Bandung,High End,0,0,1,0,1,1,Pulsa,130.65,1,5249.4
10,Bandung,High End,0,1,0,0,0,0,Pulsa,94.705,1,4145.7
1,Bandung,High End,0,0,0,0,0,0,Pulsa,95.615,1,5679.7
3,Bandung,High End,0,1,0,0,0,0,Pulsa,103.22,1,4551.3
13,Bandung,High End,0,1,1,0,0,0,Pulsa,105.495,1,6247.8
4,Bandung,High End,0,0,0,0,0,1,Pulsa,109.98,1,3207.1
6,Bandung,High End,1,0,0,0,0,0,Pulsa,102.765,1,4241.9
3,Bandung,High End,0,0,0,0,0,0,Debit,96.72,1,2670.2
35,Bandung,High End,0,0,1,0,1,1,Pulsa,128.765,1,2696.2
2,Bandung,Mid End,0,0,0,0,0,0,Digital Wallet,58.435,1,7670.0
1,Bandung,Mid End,0,0,0,0,0,0,Credit,58.11,1,4810.0
1,Bandung,Mid End,0,0,0,0,0,0,Digital Wallet,59.41,1,4642.3
8,Bandung,High End,1,0,0,1,1,1,Credit,130.39,1,6609.2
7,Bandung,Low End,0,0,0,0,0,0,Pulsa,25.025,1,5835.7
2,Bandung,High End,0,0,0,0,1,1,Pulsa,124.8,1,4408.3
1,Bandung,High End,0,0,0,0,1,1,Pulsa,117.715,1,3415.1
44,Bandung,Mid End,0,1,0,0,0,0,Pulsa,39.455,1,6277.7
71,Bandung,High End,1,0,1,1,1,1,Pulsa,140.465,1,6760.0
1,Bandung,High End,0,0,0,0,0,0,Pulsa,90.87,1,6977.1
62,Bandung,High End,0,1,1,0,1,1,Pulsa,134.875,1,6567.6
1,Bandung,High End,0,0,0,0,0,1,Pulsa,112.58,1,6796.4
33,Bandung,High End,0,1,0,0,0,0,Debit,104.78,1,4681.3
35,Bandung,High End,0,1,0,1,0,0,Credit,110.89,1,3191.5
34,Bandung,High End,0,0,0,0,0,0,Credit,91.0,1,3013.4
4,Bandung,High End,0,0,0,0,1,1,Pulsa,122.59,1,7044.7
7,Bandung,High End,0,0,1,0,1,1,Pulsa,123.955,1,4000.1
27,Bandung,High End,0,0,0,0,0,0,Pulsa,98.15,1,3090.1
18,Bandung,High End,0,0,0,1,0,1,Pulsa,117.13,1,5538.0
2,Bandung,High End,0,0,0,0,0,0,Pulsa,89.635,1,6792.5
32,Bandung,High End,1,0,0,0,1,1,Credit,129.415,1,6533.8
18,Bandung,Mid End,0,0,1,0,0,1,Pulsa,74.685,1,3885.7
12,Bandung,Mid End,0,0,0,0,0,1,Credit,69.745,1,3373.5
8,Bandung,High End,0,0,1,0,1,1,Pulsa,130.78,1,7677.8
26,Bandung,High End,0,0,0,0,1,0,Pulsa,108.875,1,3125.2
3,Bandung,High End,1,0,0,1,1,0,Digital Wallet,114.79,1,5831.8
8,Bandung,High End,0,0,1,0,1,1,Pulsa,119.73,1,7360.6
38,Bandung,High End,1,1,0,0,0,0,Pulsa,103.285,1,3126.5
14,Bandung,High End,0,0,0,0,1,1,Credit,117.585,1,6210.1
32,Bandung,High End,0,0,0,0,0,0,Debit,90.675,1,3062.8
1,Bandung,Low End,0,0,0,0,0,0,Digital Wallet,25.545,1,7645.3
12,Bandung,Mid End,0,0,1,1,0,1,Pulsa,56.745,1,3168.1
5,Bandung,Mid End,0,0,1,0,0,1,Pulsa,51.35,1,3721.9
40,Bandung,High End,0,0,0,0,1,1,Debit,126.23,1,4028.7
5,Bandung,High End,0,0,0,0,0,1,Pulsa,104.0,1,5118.1
10,Bandung,High End,1,0,0,0,1,0,Digital Wallet,110.11,1,7391.8
2,Bandung,High End,0,0,0,0,1,1,Debit,116.415,1,5006.3
23,Bandung,High End,0,0,0,1,1,0,Pulsa,117.78,1,5666.7
23,Bandung,High End,1,0,0,0,1,0,Debit,117.065,1,6045.0
49,Bandung,High End,0,1,0,0,1,1,Debit,128.765,1,6704.1
2,Bandung,High End,0,0,0,0,0,0,Debit,90.675,1,7367.1
2,Bandung,Mid End,0,1,0,0,0,0,Credit,63.765,1,3848.0
7,Jakarta,High End,0,0,1,0,1,1,Debit,127.465,1,3329.3
41,Jakarta,High End,1,1,1,1,1,1,Debit,148.85,1,3949.4
2,Jakarta,High End,0,0,0,0,0,1,Pulsa,105.235,1,4592.9
13,Jakarta,High End,0,0,1,0,0,0,Pulsa,96.59,1,3893.5
11,Jakarta,High End,0,0,0,0,1,1,Debit,116.61,1,2862.6
17,Jakarta,High End,0,0,1,0,1,1,Credit,130.585,1,7160.4
25,Jakarta,High End,0,0,0,0,1,1,Pulsa,117.52,1,7541.3
3,Jakarta,Mid End,0,1,1,0,0,0,Digital Wallet,72.995,1,3300.7
4,Jakarta,High End,1,0,1,1,0,1,Debit,122.72,1,5523.7
37,Jakarta,High End,0,0,1,0,0,0,Credit,102.635,1,5176.6
19,Jakarta,Mid End,0,0,0,0,1,1,Credit,58.305,1,6736.6
39,Jakarta,High End,0,1,1,0,1,1,Pulsa,137.345,1,6093.1
7,Jakarta,High End,0,0,1,0,0,0,Digital Wallet,97.045,1,4330.3
14,Jakarta,Mid End,1,0,0,0,1,0,Debit,84.11,1,5263.7
11,Jakarta,High End,0,0,1,1,1,1,Debit,135.265,1,5918.9
1,Jakarta,Mid End,0,0,0,0,0,1,Pulsa,46.215,1,5145.4
2,Jakarta,High End,0,0,0,0,1,1,Pulsa,123.695,1,3138.2
13,Jakarta,High End,0,0,1,0,1,1,Digital Wallet,125.645,1,6883.5
3,Jakarta,High End,0,0,0,0,1,0,Pulsa,104.52,1,4984.2
1,Jakarta,Mid End,0,1,0,0,0,0,Digital Wallet,40.755,1,4686.5
12,Jakarta,High End,0,1,0,0,1,0,Debit,116.675,1,7372.3
60,Jakarta,High End,0,1,0,0,1,1,Pulsa,122.72,1,6487.0
1,Jakarta,Low End,0,0,0,0,0,0,Pulsa,25.805,1,5036.2
6,Jakarta,High End,0,1,1,1,1,1,Credit,142.87,1,7475.0
15,Jakarta,High End,0,0,1,1,1,1,Pulsa,131.755,1,3932.5
21,Jakarta,Mid End,0,0,1,0,1,0,Debit,78.065,1,6130.8
1,Jakarta,Mid End,0,0,0,0,0,1,Pulsa,78.195,1,5994.3
7,Jakarta,High End,0,0,1,0,1,0,Pulsa,117.585,1,6962.8
53,Jakarta,High End,0,1,0,0,1,1,Debit,122.525,1,7038.2
1,Jakarta,High End,0,0,0,0,0,0,Pulsa,97.37,1,3312.4
1,Jakarta,High End,0,0,0,0,1,0,Pulsa,104.325,1,3252.6
17,Jakarta,High End,0,0,0,0,0,0,Pulsa,89.7,1,4378.4
11,Jakarta,Mid End,0,0,0,1,0,1,Pulsa,86.255,1,3718.0
19,Jakarta,High End,0,0,0,0,0,1,Debit,111.8,1,6314.1
3,Jakarta,High End,0,0,0,0,0,1,Pulsa,104.39,1,4175.6
24,Jakarta,High End,0,1,0,0,1,0,Credit,117.715,1,7705.1
2,Jakarta,High End,0,0,0,0,0,0,Pulsa,98.67,1,2731.3
1,Jakarta,Mid End,0,0,0,0,0,0,Digital Wallet,59.605,1,4817.8
16,Jakarta,Mid End,0,0,0,1,1,1,Pulsa,64.935,1,6292.0
34,Jakarta,High End,0,0,0,0,1,0,Pulsa,101.79,1,3610.1
3,Jakarta,High End,0,0,0,0,0,0,Pulsa,100.035,1,5756.4
16,Jakarta,High End,0,0,0,0,1,1,Pulsa,124.995,1,7686.9
1,Jakarta,Mid End,0,0,0,0,0,0,Pulsa,58.89,1,5938.4
15,Jakarta,Low End,0,0,0,0,0,0,Debit,25.22,1,6992.7
11,Jakarta,High End,0,0,0,1,1,0,Pulsa,117.195,1,6825.0
1,Jakarta,Mid End,0,0,0,0,0,0,Digital Wallet,58.565,1,5322.2
1,Jakarta,High End,0,1,0,0,0,0,Pulsa,98.54,1,5122.0
7,Jakarta,High End,0,0,0,0,0,1,Pulsa,103.09,1,4979.0
2,Jakarta,Mid End,0,0,0,1,0,0,Pulsa,40.17,1,3718.0
46,Jakarta,High End,0,1,0,0,1,1,Credit,123.825,1,4134.0
68,Jakarta,High End,0,1,0,0,0,1,Debit,116.48,1,7346.3
59,Jakarta,High End,1,1,1,0,1,1,Pulsa,143.195,1,5981.3
7,Jakarta,High End,0,0,0,0,1,1,Pulsa,116.35,1,4000.1
8,Jakarta,High End,1,0,0,0,0,0,Pulsa,97.5,1,3363.1
6,Jakarta,Mid End,0,0,0,0,0,0,Pulsa,58.175,1,2713.1
11,Jakarta,Mid End,0,0,0,0,0,0,Pulsa,57.265,1,4160.0
15,Jakarta,High End,0,0,0,0,0,1,Debit,111.28,1,6475.3
70,Jakarta,High End,1,1,1,1,1,1,Credit,150.215,1,6289.4
16,Jakarta,High End,0,0,0,0,1,0,Pulsa,112.58,1,3260.4
18,Jakarta,High End,0,0,0,0,1,0,Pulsa,110.76,1,4323.8
34,Jakarta,High End,0,0,0,0,1,1,Pulsa,126.945,1,5172.7
47,Jakarta,High End,0,1,1,1,1,1,Pulsa,142.415,1,7621.9
39,Jakarta,High End,0,1,1,1,0,0,Pulsa,116.415,1,5003.7
